"C14ID","C14Age","C14SD","LabCode","Material","SiteID","Latitude","Longitude","Country"
20744,4560,85,"K-4978","bone","S8170",55.5937,11.543,"Denmark"
20745,4420,50,"AAR-7062","bone","S8171",55.5937,11.543,"Denmark"
20746,4500,45,"AAR-7061","bone","S8171",55.5937,11.543,"Denmark"
20747,4860,110,"AAR-1840","food residue","S8172",55.5939,11.559,"Denmark"
20751,4510,90,"K-5742","bone","S8175",55.5867,11.6065,"Denmark"
20752,4530,90,"K-5741","bone","S8175",55.5867,11.6065,"Denmark"
20753,4450,90,"K-6058","charcoal","S8176",55.5867,11.6065,"Denmark"
20760,3980,65,"K-2672","charcoal","S8180",56.5032,9.05742,"Denmark"
20761,3660,80,"K-4075","charcoal","S8181",56.5032,9.05742,"Denmark"
20765,4960,65,"K-3775","food residue","S8183",55.6167,11.5939,"Denmark"
20767,4100,85,"K-4027","wood","S8184",56.0483,12.1087,"Denmark"
20768,4170,85,"K-4591","wood","S8184",56.0483,12.1087,"Denmark"
20769,4250,85,"K-4026","wood","S8184",56.0483,12.1087,"Denmark"
20770,4260,85,"K-4590","wood","S8184",56.0483,12.1087,"Denmark"
20771,4370,110,"AAR-1852","food residue","S8185",55.5909,11.5762,"Denmark"
20774,4960,65,"K-2775","food residue","S8188",55.5902,11.5022,"Denmark"
20776,3770,80,"K-4713","charcoal","S8189",56.7943,9.5186,"Denmark"
20777,3820,60,"K-4712","charcoal","S8189",56.7943,9.5186,"Denmark"
20779,4500,85,"K-2985","charcoal","S8190",55.8948,9.99002,"Denmark"
20785,4680,90,"K-2987","charcoal","S8190",55.8948,9.99002,"Denmark"
20787,4690,90,"K-2986","charcoal","S8190",55.8948,9.99002,"Denmark"
20788,4730,90,"K-2988","charcoal","S8190",55.8948,9.99002,"Denmark"
20791,4590,75,"K-6673","charcoal","S8193",57.3373,10.308,"Denmark"
20792,4710,70,"K-6671","charcoal","S8193",57.3373,10.308,"Denmark"
20793,4720,70,"K-6672","charcoal","S8193",57.3373,10.308,"Denmark"
20797,4870,45,"AAR-6881","bone","S8195",55.6254,11.3336,"Denmark"
20800,4390,120,"K-718","charcoal","S8196",56.4905,10.5127,"Denmark"
20801,4440,120,"K-727","charcoal","S8196",56.4905,10.5127,"Denmark"
20802,4680,110,"K-1763","charcoal","S8196",56.4905,10.5127,"Denmark"
20803,4700,110,"K-1762","charcoal","S8196",56.4905,10.5127,"Denmark"
20805,5090,140,"K-6177","wood","S8197",55.3884,9.81887,"Denmark"
20806,6740,80,"K-3558","bone","S8197",55.3884,9.81887,"Denmark"
20808,4475,45,"Ka-6978","wood","S8199",55.6295,11.1779,"Denmark"
20809,4630,85,"K-4979","bone","S8200",55.5898,11.5289,"Denmark"
20811,4580,90,"K-6306","bone","S8201",54.9535,9.21664,"Denmark"
20812,5386,42,"AAR-4773","bone","S8202",55.6045,11.5883,"Denmark"
